model,id,novel,n_tok,s_rate,k_crit,binding_token,binding_frac,ratio_skip0,ratio_skip1,ratio_skip5,ratio_skip10,ratio_skip20
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.00,the_silmarillion,66,2.793809577718617,17.98236656188965,0,0.0,6.436504014197625,1.5032115925073577,2.1992072544104007,0.9964823378169453,1.1283886921920936
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.01,the_silmarillion,71,2.986633928738613,22.07411766052246,0,0.0,7.390968624616587,1.0294504995461233,3.0902295502282136,3.381919465499337,1.1382648932906148
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.05,the_silmarillion,100,2.5155264686141163,13.283084869384766,0,0.0,5.280439317620394,2.0910856172718777,1.4146156636116085,2.319483082849038,0.8370744106943647
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.07,the_silmarillion,69,3.818755474427472,14.169702529907227,0,0.0,3.710555081307379,1.0739478727343268,1.2850828213033065,1.2450504357566867,1.4488075869775328
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.08,the_silmarillion,67,3.138697934001615,17.380783081054688,0,0.0,5.537577507146549,1.8886293041367783,1.894778459618438,1.3259174854858566,2.079591796109082
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.09,the_silmarillion,69,2.895941748089778,13.364642143249512,0,0.0,4.614955446553821,1.3306657714240482,2.080967503818271,1.983555857870544,1.1343465916342539
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.12,the_silmarillion,62,3.032800216092578,11.608110427856445,0,0.0,3.8275222898830408,1.4429726152433155,1.015284142298622,1.2001033142068966,1.065337724432504
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.15,the_silmarillion,66,3.966139355127587,12.099536895751953,0,0.0,3.050708967174635,1.0518910153385408,1.4579653843619926,1.1001281573291724,1.1148540665667084
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.16,the_silmarillion,60,3.135533920103141,13.128423690795898,0,0.0,4.186981874641639,1.2769460584817303,1.0983266412910135,1.172103088257446,1.8521600600885757
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.18,the_silmarillion,70,3.515090135200548,17.50617790222168,0,0.0,4.980292746098499,2.8065025544790796,1.023824443086723,1.2291382639532087,1.1183187099994094
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.19,the_silmarillion,72,3.64064908342132,3.78559374878917,58,0.8055555555555556,1.0398128635983883,1.0487575897944608,1.0842254221370313,1.2885663498164677,1.1137528301289161
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.21,the_silmarillion,66,3.483033779245681,12.541946411132812,0,0.0,3.6008684399980226,1.7749749495518534,2.227257247580762,1.0089686935237199,1.1177900402098138
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.23,the_silmarillion,59,3.546579646104473,12.025907516479492,0,0.0,3.390846594884349,2.1338052870009507,1.6126233558355458,1.13643248328504,1.5660743249012818
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.25,the_silmarillion,58,2.607582692642985,3.4236374348402023,20,0.3448275862068966,1.312954501692172,1.3424717364170529,1.6102039706504645,1.7324207924672073,3.6682955206446635
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.26,the_silmarillion,69,2.772641555260212,5.092677086591721,3,0.043478260869565216,1.8367599940677415,2.3314671002900003,0.9765119646856947,1.6664075559791933,1.2220164658727346
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.27,the_silmarillion,78,2.817933682991096,9.66816520690918,0,0.0,3.430941354392309,3.3200553231461076,1.05623438788038,2.8606821332701755,4.461582964729837
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.28,the_silmarillion,63,3.219717960228168,9.160063743591309,1,0.015873015873015872,2.8449894856449394,2.9520091144420655,1.2613441854002523,1.4682827730467014,1.4975417128822128
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.29,the_silmarillion,63,3.272619789584987,15.407031059265137,0,0.0,4.707858550601431,1.2108519223662202,1.3295449539722846,2.5475151611290188,4.571708275480929
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.30,the_silmarillion,59,2.898117706558462,10.3568754196167,0,0.0,3.573655892643357,1.2702095131170654,1.6059293831416344,3.210807096216357,2.942884857389061
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.31,the_silmarillion,59,3.8436736331116093,15.918201446533203,0,0.0,4.141402982137891,1.2463110451326218,1.796550251145199,1.037101226260103,1.3533109322858141
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.37,the_silmarillion,59,3.3537546953786226,15.92654037475586,0,0.0,4.748868602913079,2.0392869570855505,3.311591927312677,1.8419050326727442,0.9265337880316762
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.39,the_silmarillion,61,3.4584551568383533,12.480107307434082,0,0.0,3.6085786113945546,0.9873477716701377,1.099972111499692,1.1858602312073867,1.1193730066833885
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.45,the_silmarillion,69,3.0482102266742266,10.014792442321777,0,0.0,3.285466453292657,1.1713908312177472,1.0076736886304396,1.5438259058139359,1.3660227242563427
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.46,the_silmarillion,62,3.5460390049359582,13.484085083007812,0,0.0,3.8025766395232687,1.6637107186527211,1.3137357872175186,0.8799547028314663,0.8932044630821426
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.47,the_silmarillion,74,3.5918238089998833,16.754392623901367,0,0.0,4.6645920052984176,1.961052830296833,1.363202128317873,1.175656030808652,2.253817129224105
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.48,the_silmarillion,70,2.632187080378,4.380184570948283,2,0.02857142857142857,1.66408558251842,2.770586035423367,1.4266441660359155,0.998902717081642,1.7717607250517755
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.50,the_silmarillion,70,2.575835154716125,13.553897857666016,0,0.0,5.261943037329091,1.0426743011411386,1.203720774337234,1.5858181440261763,0.9324536652698541
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.42.54,the_silmarillion,68,3.4167758178195715,14.09103775024414,0,0.0,4.124074420321902,1.3668475899517754,0.9659903323507778,1.184873642523988,1.0461496166222426
