prompt_id,cls,median_R,min_R,served_C4.1589,served_C33.271,served_C83.178,served_C159.83
fact_00377_Christian Almeida,factual,158.77,77.22,anchor,anchor,risky#22,risky#0
fact_00378_Arthur Wakefield,factual,146.24,74.0,anchor,anchor,risky#58,risky#4
fact_00384_Andry Rajoelina,factual,148.43,72.31,anchor,anchor,risky#5,risky#0
fact_00394_Danny Almonte,factual,170.75,108.74,anchor,anchor,anchor,risky#2
fact_00396_Andy Middleton,factual,154.15,103.11,anchor,anchor,anchor,risky#0
fact_00397_Anderson Silva,factual,194.98,121.65,anchor,anchor,anchor,risky#3
fact_00399_Edgar Bennett,factual,157.59,79.52,anchor,anchor,anchor,risky#3
fact_00401_Balázs Bekő,factual,138.7,63.22,anchor,anchor,risky#21,risky#1
fact_00404_Abraham Ancer,factual,172.94,120.6,anchor,anchor,anchor,risky#0
fact_00418_A. K. Ramanujan,factual,156.06,98.55,anchor,anchor,anchor,risky#0
fact_00420_Carlos Ghosn,factual,178.28,108.53,anchor,anchor,anchor,risky#0
fact_00421_Anurag Kashyap,factual,171.12,117.34,anchor,anchor,anchor,risky#2
fact_00425_Angela Bairstow,factual,148.32,82.21,anchor,anchor,anchor,risky#0
fact_00427_Ernestine Eckstein,factual,147.75,88.87,anchor,anchor,anchor,risky#3
fact_00430_Ezekiel Elliott,factual,176.83,84.74,anchor,anchor,anchor,risky#4
fact_00433_Aaron Burr,factual,157.61,95.34,anchor,anchor,anchor,risky#0
fact_00444_Charles B. McVay III,factual,168.29,114.38,anchor,anchor,anchor,risky#0
fact_00448_Carol Chell,factual,169.95,102.85,anchor,anchor,anchor,risky#2
fact_00449_Alen Omić,factual,148.64,84.01,anchor,anchor,anchor,risky#1
fact_00452_Alice Torriani,factual,149.26,81.1,anchor,anchor,anchor,risky#0
fact_00454_Albert Outler,factual,159.53,98.0,anchor,anchor,anchor,risky#0
fact_00459_Felician of Foligno,factual,145.26,76.58,anchor,anchor,risky#4,risky#1
fact_00460_Annie Landouw,factual,161.78,91.77,anchor,anchor,anchor,risky#1
fact_00462_Bhāskara I,factual,148.87,84.9,anchor,anchor,anchor,risky#2
fact_00464_Damon Herriman,factual,179.91,110.49,anchor,anchor,anchor,risky#0
fact_00466_Feroze Gandhi,factual,165.02,93.77,anchor,anchor,anchor,risky#2
fact_00471_D. B. Nihalsinghe,factual,150.56,75.45,anchor,anchor,risky#8,risky#1
fact_00478_F. Gwynplaine MacIntyre,factual,156.33,87.77,anchor,anchor,anchor,risky#0
