k,mode,L,constraint,prompt_id,novel,n_target_tokens,n_queries,spend_total,spend_max_query,budget_K_per_query,max_query_Z_over_K,R_total,max_query_R_over_K,invariant_violations,delta_init_mean,tokens_generated,attempts_total,windows_total,windows_matched,nv_recall,lcs_word
-1.0,oracle,20,kl,bookmia.07.07,casino_royale,295,15,0.0,0.0,-20.0,,739.914,,0,10.851,300,15,15,13,0.9312,129
-1.0,oracle,20,kl,bookmia.07.08,casino_royale,306,16,0.0,0.0,-20.0,,696.017,,0,11.976,320,16,16,15,1.0,207
-1.0,oracle,20,kl,bookmia.07.09,casino_royale,317,16,0.0,0.0,-20.0,,783.082,,0,10.922,320,16,16,14,0.9381,168
-1.0,oracle,20,kl,bookmia.07.15,casino_royale,308,16,0.0,0.0,-20.0,,722.776,,0,11.022,320,16,16,14,0.9585,149
-1.0,oracle,20,kl,bookmia.07.16,casino_royale,287,15,0.0,0.0,-20.0,,705.596,,0,9.402,300,15,15,14,1.0,215
-1.0,oracle,20,kl,bookmia.07.17,casino_royale,309,16,0.0,0.0,-20.0,,837.142,,0,10.487,320,16,16,15,1.0,206
-1.0,oracle,20,kl,bookmia.07.20,casino_royale,307,16,0.0,0.0,-20.0,,863.603,,0,11.568,320,16,16,13,0.963,137
-1.0,oracle,20,kl,bookmia.07.24,casino_royale,287,15,0.0,0.0,-20.0,,700.371,,0,10.897,300,15,15,13,1.0,168
-1.0,oracle,20,kl,bookmia.07.25,casino_royale,326,17,0.0,0.0,-20.0,,913.244,,0,11.658,340,17,17,16,1.0,214
-1.0,oracle,20,kl,bookmia.07.26,casino_royale,301,16,0.0,0.0,-20.0,,867.094,,0,13.232,320,16,16,15,1.0,216
-1.0,oracle,20,kl,bookmia.07.28,casino_royale,303,16,0.0,0.0,-20.0,,714.44,,0,12.119,320,16,16,14,0.9725,183
-1.0,oracle,20,kl,bookmia.07.29,casino_royale,304,16,0.0,0.0,-20.0,,730.858,,0,10.385,320,16,16,11,0.8476,65
-1.0,oracle,20,kl,bookmia.07.30,casino_royale,289,15,0.0,0.0,-20.0,,785.208,,0,10.778,300,15,15,13,0.9902,162
-1.0,oracle,20,kl,bookmia.07.31,casino_royale,320,16,0.0,0.0,-20.0,,733.317,,0,10.813,320,16,16,15,1.0,183
-1.0,oracle,20,kl,bookmia.07.32,casino_royale,291,15,0.0,0.0,-20.0,,797.804,,0,11.18,300,15,15,10,0.8341,68
-1.0,oracle,20,kl,bookmia.07.37,casino_royale,313,16,0.0,0.0,-20.0,,755.283,,0,12.266,320,16,16,13,0.9434,98
-1.0,oracle,20,kl,bookmia.07.40,casino_royale,293,15,0.0,0.0,-20.0,,656.88,,0,10.739,300,15,15,12,0.9333,102
-1.0,oracle,20,kl,bookmia.07.41,casino_royale,290,15,0.0,0.0,-20.0,,782.644,,0,11.973,300,15,15,12,0.9612,104
-1.0,oracle,20,kl,bookmia.07.43,casino_royale,278,14,0.0,0.0,-20.0,,717.108,,0,10.778,280,14,14,12,1.0,103
