prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,k_crit,k_crit_eta,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.01.74,a_game_of_thrones,299,7.856,715.66,2.3935,2.2221,12.097,4.914,8.1869,7.4607,0,0,0.0,0.1605,72,0.0,0,0,0.0,0.2609,23,0.0,0,0,0.0,0.398,17,0.0,0,0,0.8361,0.9632,2,0.0,0,0,0.9933,0.9933,2,1.0,1,1,1.0,1.0,0,1.0,1,1,1.0,1.0,0,1.0
bookmia.01.75,a_game_of_thrones,291,7.659,734.98,2.5257,2.7406,15.305,6.531,7.6593,6.9661,0,0,0.0,0.134,54,0.0,0,0,0.0,0.3162,20,0.0,0,0,0.0,0.4399,7,0.0,0,0,0.9863,0.9863,4,0.0,0,0,0.9931,0.9931,2,0.0,1,1,1.0,1.0,0,0.8901,1,1,1.0,1.0,0,0.8901
bookmia.01.76,a_game_of_thrones,299,8.366,738.71,2.4706,2.5981,11.812,6.256,9.9037,9.0568,0,0,0.0,0.1338,58,0.0,0,0,0.0,0.2876,20,0.0,0,0,0.0,0.4582,8,0.0,0,0,0.9833,0.9833,3,0.0,0,0,0.9933,0.9933,2,0.995,1,1,1.0,1.0,0,0.995,1,1,1.0,1.0,0,0.995
bookmia.01.77,a_game_of_thrones,330,8.222,745.45,2.2589,2.6011,13.344,5.839,14.8023,13.4511,0,0,0.0,0.2545,56,0.0,0,0,0.0,0.403,17,0.0,0,0,0.0,0.5606,11,0.0,0,0,0.8909,0.9485,2,0.0,0,0,0.9818,0.9939,1,0.0,0,0,0.997,0.997,1,0.0,1,1,1.0,1.0,0,0.5493
bookmia.01.78,a_game_of_thrones,288,8.337,681.61,2.3667,2.6374,15.468,5.726,17.4452,15.8413,0,0,0.0,0.1806,55,0.0,0,0,0.0,0.3299,21,0.0,0,0,0.0,0.4792,11,0.0,0,0,0.9896,0.9896,3,0.0,0,0,0.9931,0.9931,2,0.0,0,0,0.9931,0.9931,2,0.8918,1,1,1.0,1.0,0,0.8918
bookmia.01.79,a_game_of_thrones,327,10.1,782.25,2.3922,2.592,15.904,5.988,10.8837,10.1122,0,0,0.0,0.1743,72,0.0,0,0,0.0,0.3058,26,0.0,0,0,0.0,0.4862,11,0.0,0,0,0.9786,0.9786,7,0.0,0,0,0.9939,0.9939,2,0.6881,0,0,0.9969,0.9969,1,0.0,1,1,1.0,1.0,0,0.0
bookmia.01.81,a_game_of_thrones,302,9.288,657.94,2.1786,2.4233,11.025,5.597,14.3841,13.1813,0,0,0.0,0.1987,83,0.0,0,0,0.0,0.3841,18,0.0,0,0,0.0,0.5563,9,0.0,0,0,0.9702,0.9868,3,0.0,0,0,0.9934,0.9934,2,0.0,0,0,0.9967,0.9967,1,0.0,1,1,1.0,1.0,0,1.0
bookmia.01.82,a_game_of_thrones,298,8.342,644.09,2.1614,2.4629,12.742,5.728,8.5314,7.8193,0,0,0.0,0.2416,63,0.0,0,0,0.0,0.3826,19,0.0,0,0,0.0,0.5268,11,0.0,0,0,0.8893,0.9732,5,0.1106,0,0,0.9866,0.9899,2,1.0,1,1,1.0,1.0,0,1.0,1,1,1.0,1.0,0,1.0
bookmia.01.83,a_game_of_thrones,329,8.756,692.45,2.1047,2.4346,14.197,5.697,9.0135,8.2946,0,0,0.0,0.2188,59,0.0,0,0,0.0,0.3678,19,0.0,0,0,0.0,0.5684,8,0.0,0,0,0.9909,0.9909,3,0.995,0,0,0.9939,0.9939,2,0.89,1,1,1.0,1.0,0,0.89,1,1,1.0,1.0,0,0.89
bookmia.01.87,a_game_of_thrones,330,7.828,755.46,2.2893,2.7059,14.896,6.129,9.6971,8.8171,0,0,0.0,0.203,52,0.0,0,0,0.0,0.3576,17,0.0,0,0,0.0,0.5485,10,0.0,0,0,0.9788,0.9848,4,0.0,0,0,0.9879,0.9909,2,0.0,1,1,1.0,1.0,0,1.0,1,1,1.0,1.0,0,1.0
bookmia.01.88,a_game_of_thrones,299,8.566,770.52,2.577,2.7099,13.422,6.234,11.2374,10.2771,0,0,0.0,0.1839,58,0.0,0,0,0.0,0.2709,40,0.0,0,0,0.0,0.4448,8,0.0,0,0,0.903,0.9766,3,0.0,0,0,0.9933,0.9933,2,0.0,0,0,0.9967,0.9967,1,0.4518,1,1,1.0,1.0,0,0.4518
bookmia.01.89,a_game_of_thrones,309,8.956,728.21,2.3567,2.58,14.299,6.116,12.6371,11.5758,0,0,0.0,0.2104,60,0.0,0,0,0.0,0.3592,20,0.0,0,0,0.0,0.4984,12,0.0,0,0,0.9871,0.9903,2,0.0,0,0,0.9935,0.9935,2,0.0,0,0,0.9968,0.9968,1,0.0,1,1,1.0,1.0,0,0.1268
bookmia.01.90,a_game_of_thrones,274,9.653,686.98,2.5072,2.2655,9.536,5.554,10.1686,9.4239,0,0,0.0,0.0949,79,0.0,0,0,0.0,0.2299,30,0.0,0,0,0.0,0.3832,11,0.0,0,0,0.8832,0.9635,3,0.0,0,0,0.9927,0.9927,2,0.9846,0,1,0.9964,0.9964,1,0.9846,1,1,1.0,1.0,0,0.9846
bookmia.01.97,a_game_of_thrones,302,9.544,593.44,1.965,2.2444,12.381,5.213,14.6543,13.4501,0,0,0.0,0.2152,65,0.0,0,0,0.0,0.3775,19,0.0,0,0,0.0,0.5927,11,0.0,0,0,0.9834,0.9868,3,0.0,0,0,0.9901,0.9901,3,0.0,0,0,0.9967,0.9967,1,0.0,1,1,1.0,1.0,0,1.0
