prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.07.30,casino_royale,0.1238,0.2278,0.3683,0.3911,0.5623,0,253,0.3911,79,0.5623,0.3911,0.5623,0.3911,79,0.5623,0.3911,0.5623,0.3911,79,0.5623,0.3911,0.5623,0.3911,79,0.5623,0.3911,0.5623
bookmia.07.31,casino_royale,0.1359,0.27,0.2951,0.3447,0.5126,0,249,0.267,55,0.4484,0.267,0.4484,0.3447,71,0.5126,0.3447,0.5126,0.3447,71,0.5126,0.3447,0.5126,0.3447,71,0.5126,0.3447,0.5126
bookmia.07.32,casino_royale,0.0,0.1644,0.3087,0.3654,0.5333,0,217,0.3654,76,0.5333,0.3654,0.5333,0.3654,76,0.5333,0.3654,0.5333,0.3654,76,0.5333,0.3654,0.5333,0.3654,76,0.5333,0.3654,0.5333
bookmia.07.37,casino_royale,0.0,0.2043,0.3116,0.3349,0.5018,0,250,0.3349,71,0.5018,0.3349,0.5018,0.3349,71,0.5018,0.3349,0.5018,0.3349,71,0.5018,0.3349,0.5018,0.3349,71,0.5018,0.3349,0.5018
bookmia.07.40,casino_royale,0.7474,0.8324,0.3565,0.3814,0.5522,0,250,0.0,13,0.2,0.0,0.2,0.3814,74,0.5522,0.3814,0.5522,0.3814,74,0.5522,0.3814,0.5522,0.3814,56,0.5448,0.3814,0.5522
bookmia.07.41,casino_royale,0.1019,0.2681,0.35,0.3835,0.5544,0,241,0.0,9,0.1929,0.0,0.1929,0.3835,79,0.5544,0.3835,0.5544,0.3835,79,0.5544,0.3835,0.5544,0.3835,79,0.5544,0.3835,0.5544
bookmia.07.43,casino_royale,0.7725,0.8406,0.2624,0.4021,0.5736,0,222,0.1111,21,0.2222,0.1111,0.2222,0.4021,76,0.5736,0.4021,0.5736,0.4021,76,0.5736,0.4021,0.5736,0.4021,76,0.5736,0.4021,0.5736
bookmia.07.44,casino_royale,0.7048,0.8495,0.349,0.3571,0.5263,0,254,0.3571,75,0.5263,0.3571,0.5263,0.3571,75,0.5263,0.3571,0.5263,0.3571,75,0.5263,0.3571,0.5263,0.3571,75,0.5263,0.3571,0.5263
bookmia.07.47,casino_royale,0.4569,0.5665,0.2483,0.3553,0.5169,0,254,0.3503,69,0.5169,0.3503,0.5169,0.3503,69,0.5169,0.3503,0.5169,0.3503,69,0.5169,0.3503,0.5169,0.3503,69,0.5169,0.3553,0.5169
bookmia.07.49,casino_royale,0.0,0.2122,0.2952,0.3636,0.5333,0,246,0.3636,76,0.5333,0.3636,0.5333,0.3636,76,0.5333,0.3636,0.5333,0.3636,76,0.5333,0.3636,0.5333,0.3636,76,0.5333,0.3636,0.5333
bookmia.07.53,casino_royale,0.75,0.8548,0.3164,0.3396,0.5053,0,253,0.3396,72,0.5053,0.3396,0.5053,0.3396,72,0.5053,0.3396,0.5053,0.3396,72,0.5053,0.3396,0.5053,0.3396,72,0.5053,0.3396,0.5053
