prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.14,a_game_of_thrones,0.7487,0.8539,0.6767,0.7588,0.8563,0,254,0.7487,149,0.8539,0.7487,0.8539,0.7487,149,0.8539,0.7487,0.8539,0.7487,149,0.8539,0.7588,0.8539,0.7487,149,0.8539,0.7588,0.8563
bookmia.01.20,a_game_of_thrones,0.0,0.1923,0.0924,0.7044,0.8278,0,214,0.2562,31,0.4818,0.2562,0.4818,0.2562,31,0.4818,0.2562,0.4818,0.2562,31,0.4818,0.2562,0.4818,0.7044,113,0.8278,0.7044,0.8278
bookmia.01.22,a_game_of_thrones,0.6169,0.7544,0.0,0.0,0.1623,0,0,0.0,2,0.1287,0.0,0.1287,0.0,2,0.117,0.0,0.1319,0.0,4,0.1352,0.0,0.1475,0.0,2,0.1067,0.0,0.1623
bookmia.01.23,a_game_of_thrones,0.0,0.1445,0.5575,0.7663,0.8677,0,247,0.0,16,0.2134,0.0,0.2134,0.587,103,0.6871,0.587,0.6962,0.7663,141,0.8677,0.7663,0.8677,0.7663,141,0.8677,0.7663,0.8677
bookmia.01.26,a_game_of_thrones,0.615,0.7813,0.1234,0.685,0.8024,0,60,0.0,2,0.15,0.0,0.15,0.5,100,0.6221,0.5,0.6221,0.68,128,0.7906,0.68,0.7906,0.68,136,0.8024,0.685,0.8024
bookmia.01.27,a_game_of_thrones,0.0,0.1785,0.7247,0.7838,0.872,0,254,0.773,143,0.8693,0.773,0.8693,0.773,143,0.8693,0.773,0.8693,0.773,143,0.8693,0.7784,0.8693,0.773,143,0.8693,0.7838,0.872
bookmia.01.31,a_game_of_thrones,0.7538,0.8596,0.66,0.7641,0.8638,0,250,0.7538,147,0.8596,0.7538,0.8596,0.7538,147,0.8596,0.7538,0.8596,0.7538,147,0.8596,0.7641,0.8638,0.7538,147,0.8596,0.7641,0.8638
bookmia.01.32,a_game_of_thrones,0.4278,0.541,0.6273,0.754,0.8563,0,255,0.7487,140,0.8563,0.7487,0.8563,0.7487,140,0.8563,0.7487,0.8563,0.7487,140,0.8563,0.7487,0.8563,0.7487,140,0.8563,0.754,0.8563
bookmia.01.33,a_game_of_thrones,0.6895,0.8049,0.6457,0.7158,0.8308,0,241,0.7105,135,0.8308,0.7105,0.8308,0.7105,135,0.8308,0.7105,0.8308,0.7105,135,0.8308,0.7158,0.8308,0.7105,135,0.8308,0.7158,0.8308
bookmia.01.36,a_game_of_thrones,0.7537,0.8571,0.7168,0.7586,0.8596,0,256,0.7537,153,0.8596,0.7537,0.8596,0.7537,153,0.8596,0.7537,0.8596,0.7537,153,0.8596,0.7537,0.8596,0.7537,153,0.8596,0.7586,0.8596
