prompt_id,novel,recall,rouge,words,block_len,n_per_block,blocks,scorer,certificate_whole_nats,certificate_window50_nats,anchor_model,rng_seed,gen_batch,score_batch,scorer_model
bookmia.07.53,casino_royale,0.0,0.1939,118,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.54,casino_royale,0.0,0.176,156,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.55,casino_royale,0.0,0.1378,188,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.56,casino_royale,0.0,0.093,143,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.57,casino_royale,0.0,0.085,99,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.59,casino_royale,0.0,0.1622,149,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.61,casino_royale,0.0,0.1804,176,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.62,casino_royale,0.0,0.1481,141,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.63,casino_royale,0.0,0.1614,149,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.66,casino_royale,0.0,0.1315,152,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.70,casino_royale,0.0,0.1084,173,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.72,casino_royale,0.0,0.0767,169,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.73,casino_royale,0.0,0.043,166,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.77,casino_royale,0.0,0.1348,165,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.80,casino_royale,0.0,0.1617,166,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
