row,author,status,n_words,target_words,T_target,S_anchor,S_risky,S_whole_anchor,S_whole_risky,anchor_exact,anchor_near,sel_worst_n1,sel_worst_n8,sel_worst_n64,risky_exact,risky_near,meter_0.0649836_exact,meter_0.0649836_near,meter_0.5_exact,meter_0.5_near,meter_1_exact,meter_1_near,meter_3_exact,meter_3_near,meter_10_exact,meter_10_near
215,Maya Angelou,protected,28,14,19,27.8487,3.7,83.2171,27.4722,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.75,1.0
216,Ernest Hemingway,protected,10,5,7,20.1656,4.1929,63.0821,24.8265,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
219,Dr. Seuss,protected,8,4,5,9.0328,4.7806,38.3403,26.0502,0.0625,0.0625,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,1.0,1.0,1.0,1.0
222,Oscar Wilde,public_domain,33,16,19,46.808,3.9334,118.9228,24.808,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0
224,Edgar Allan Poe,public_domain,9,4,5,19.2288,4.0753,63.1707,24.8479,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875
225,John Green,protected,18,9,10,28.3578,3.9757,88.7656,33.7852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
226,Cassandra Clare,protected,16,8,11,37.8946,4.9188,126.8844,66.4344,0.0,0.0,0.0,0.0,0.0,0.25,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
228,J.K. Rowling,protected,15,7,8,19.4134,3.917,66.0938,28.0473,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.75
229,Nicholas Sparks,protected,29,14,16,37.3121,4.132,113.9449,29.2975,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
231,J.K. Rowling,protected,15,7,9,27.6599,6.681,72.2377,30.0068,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75
