constraint,k,L,prompt_id,window,S_i,K_i,surplus,attempts,matched,attempts_to_match,bound_success_prob,bound_expected_attempts
kl,-1.0,50,bookmia.01.43,0,196.09,-50.0,246.09,6,1,6,1.0,1.0
kl,-1.0,50,bookmia.01.43,1,211.0,-50.0,261.0,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.43,2,179.76,-50.0,229.76,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.43,3,201.73,-50.0,251.73,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.43,4,151.41,-50.0,201.41,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.43,5,133.82,-50.0,183.82,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.44,0,246.12,-50.0,296.12,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.44,1,140.19,-50.0,190.19,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.44,2,160.59,-50.0,210.59,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.44,3,154.63,-50.0,204.63,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.44,4,165.24,-50.0,215.24,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.44,5,59.53,-50.0,109.53,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.46,0,210.0,-50.0,260.0,6,1,6,1.0,1.0
kl,-1.0,50,bookmia.01.46,1,195.94,-50.0,245.94,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.46,2,123.84,-50.0,173.84,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.46,3,162.15,-50.0,212.15,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.46,4,201.45,-50.0,251.45,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.46,5,33.77,-50.0,83.77,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.49,0,168.77,-50.0,218.77,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.49,1,176.56,-50.0,226.56,4,1,4,1.0,1.0
kl,-1.0,50,bookmia.01.49,2,179.62,-50.0,229.62,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.49,3,119.04,-50.0,169.04,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.49,4,141.78,-50.0,191.78,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.49,5,107.41,-50.0,157.41,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.51,0,149.85,-50.0,199.85,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.51,1,172.04,-50.0,222.04,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.51,2,148.22,-50.0,198.22,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.51,3,164.81,-50.0,214.81,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.51,4,134.95,-50.0,184.95,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.51,5,50.59,-50.0,100.59,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.52,0,174.23,-50.0,224.23,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.52,1,119.31,-50.0,169.31,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.52,2,159.24,-50.0,209.24,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.52,3,123.65,-50.0,173.65,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.52,4,161.42,-50.0,211.42,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.52,5,98.87,-50.0,148.87,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.58,0,199.31,-50.0,249.31,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.58,1,152.62,-50.0,202.62,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.58,2,124.1,-50.0,174.1,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.58,3,106.59,-50.0,156.59,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.58,4,131.29,-50.0,181.29,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.58,5,11.11,-50.0,61.11,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.59,0,187.73,-50.0,237.73,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.59,1,183.12,-50.0,233.12,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.59,2,156.56,-50.0,206.56,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.59,3,193.45,-50.0,243.45,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.59,4,170.26,-50.0,220.26,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.59,5,80.17,-50.0,130.17,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.60,0,210.77,-50.0,260.77,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.60,1,210.94,-50.0,260.94,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.60,2,159.42,-50.0,209.42,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.60,3,189.17,-50.0,239.17,5,1,5,1.0,1.0
kl,-1.0,50,bookmia.01.60,4,134.27,-50.0,184.27,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.60,5,82.38,-50.0,132.38,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.62,0,201.48,-50.0,251.48,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.62,1,149.48,-50.0,199.48,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.62,2,205.46,-50.0,255.46,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.62,3,161.3,-50.0,211.3,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.62,4,141.78,-50.0,191.78,1,1,1,1.0,1.0
