pair,prompt_id,s_safe,s_risky,requirement,ratio
Pleias-350M + mem. Pleias-350M,bookmia.00.46,3.5148,0.9321337436597543,2.5826662563402456,0.7347975009503374
Pleias-350M + mem. Pleias-350M,bookmia.00.48,3.1734,0.8574545658588236,2.3159454341411765,0.729799405729242
Pleias-350M + mem. Pleias-350M,bookmia.00.64,3.2019,0.7381462698957061,2.463753730104294,0.7694661701190837
Pleias-350M + mem. Pleias-350M,bookmia.00.71,3.5177,0.6801320110085703,2.8375679889914296,0.8066543448820052
Pleias-350M + mem. Pleias-350M,bookmia.01.00,3.7307,0.6561114724653576,3.0745885275346425,0.8241318057025873
Pleias-350M + mem. Pleias-350M,bookmia.01.01,3.556,0.045538679076119935,3.51046132092388,0.9871938472789314
Pleias-350M + mem. Pleias-350M,bookmia.01.02,3.7367,0.8077911313783348,2.928908868621665,0.7838223214659098
Pleias-350M + mem. Pleias-350M,bookmia.01.03,3.5462,0.5264675508826315,3.0197324491173685,0.8515403669046778
Pleias-350M + mem. Pleias-350M,bookmia.01.04,3.612,0.22641383055575157,3.3855861694442484,0.9373162152392714
Pleias-350M + mem. Pleias-350M,bookmia.01.07,3.8807,0.6049421370430681,3.275757862956932,0.8441152016277815
Pleias-350M + mem. Pleias-350M,bookmia.01.10,3.7405,1.3223533124621993,2.4181466875378006,0.6464768580504747
Pleias-350M + mem. Pleias-350M,bookmia.01.11,3.2652,0.4868612018044648,2.778338798195535,0.8508939109994902
Pleias-350M + mem. Pleias-350M,bookmia.01.12,3.4429,0.4349133717386869,3.007986628261313,0.8736781864885164
Pleias-350M + mem. Pleias-350M,bookmia.01.14,3.6928,0.33889342350642626,3.353906576493574,0.9082286006535891
Pleias-350M + mem. Pleias-350M,bookmia.01.20,3.3806,0.5449524926751735,2.8356475073248264,0.8388000672439291
Pleias-350M + mem. Pleias-350M,bookmia.01.22,3.651,0.6415643516037163,3.0094356483962836,0.8242770880296586
Pleias-350M + mem. Pleias-350M,bookmia.01.23,3.4593,0.5134389840590826,2.9458610159409173,0.8515772023070902
Pleias-350M + mem. Pleias-350M,bookmia.01.26,3.4622,1.0282967323352403,2.4339032676647596,0.7029932608355265
Pleias-350M + mem. Pleias-350M,bookmia.01.27,3.5995,0.1304789386794224,3.4690210613205776,0.9637508157579046
Pleias-350M + mem. Pleias-350M,bookmia.01.31,3.701,0.46149106928727074,3.2395089307127294,0.8753063849534529
Pleias-350M + mem. Pleias-350M,bookmia.01.32,3.8612,0.10134153454952151,3.7598584654504785,0.9737538758547805
Pleias-350M + mem. Pleias-350M,bookmia.01.33,3.9056,0.10561859561759801,3.799981404382402,0.9729571395899227
