k,mode,L,constraint,prompt_id,novel,n_target_tokens,n_queries,spend_total,spend_max_query,budget_K_per_query,max_query_Z_over_K,R_total,max_query_R_over_K,invariant_violations,delta_init_mean,tokens_generated,attempts_total,windows_total,windows_matched,nv_recall,lcs_word
10.0,chained,50,kl,bookmia.01.62,a_game_of_thrones,261,6,620.737,116.337,500.0,0.2327,605.854,0.2276,0,11.87,305,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.69,a_game_of_thrones,262,6,624.812,117.59,500.0,0.2352,635.025,0.2466,0,11.092,304,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.71,a_game_of_thrones,269,6,309.582,117.208,500.0,0.2344,301.475,0.2121,0,11.367,307,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.73,a_game_of_thrones,258,6,724.83,166.58,500.0,0.3332,713.281,0.3354,0,12.328,304,6,6,0,0.2066,44
10.0,chained,50,kl,bookmia.01.74,a_game_of_thrones,262,6,533.54,102.292,500.0,0.2046,547.411,0.2168,0,10.054,303,6,6,0,0.0,4
10.0,chained,50,kl,bookmia.01.75,a_game_of_thrones,259,6,542.26,104.071,500.0,0.2081,495.408,0.1965,0,10.501,302,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.76,a_game_of_thrones,261,6,765.898,179.308,500.0,0.3586,786.729,0.3631,0,12.021,305,6,6,0,0.201,40
10.0,chained,50,kl,bookmia.01.77,a_game_of_thrones,269,6,755.613,231.045,500.0,0.4621,768.76,0.4634,0,13.134,305,6,6,0,0.1611,34
10.0,chained,50,kl,bookmia.01.78,a_game_of_thrones,257,6,618.095,124.244,500.0,0.2485,624.693,0.2893,0,12.267,305,6,6,0,0.0,3
10.0,chained,50,kl,bookmia.01.79,a_game_of_thrones,286,6,636.09,133.337,500.0,0.2667,609.068,0.224,0,12.134,304,6,6,0,0.0,3
10.0,chained,50,kl,bookmia.01.81,a_game_of_thrones,256,6,582.738,125.116,500.0,0.2502,586.255,0.2576,0,12.145,304,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.82,a_game_of_thrones,259,6,803.252,158.441,500.0,0.3169,802.981,0.3178,0,12.34,305,6,6,0,0.9426,42
10.0,chained,50,kl,bookmia.01.83,a_game_of_thrones,270,6,774.838,181.721,500.0,0.3634,769.864,0.3651,0,13.35,304,6,6,0,0.3831,39
10.0,chained,50,kl,bookmia.01.87,a_game_of_thrones,281,6,573.919,112.101,500.0,0.2242,536.061,0.2316,0,11.826,305,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.88,a_game_of_thrones,258,6,634.539,119.666,500.0,0.2393,675.655,0.2579,0,11.2,305,6,6,0,0.0,2
