k,K,split,prompt_id,seed,constraint,T,Z,L,M,V,b,B,L_over_K
0.5,100.0,attack_train,bookmia.01.00,3320184833,kl,200,92.797,106.811,14.014,206.668,14.025,92.797,1.0681
0.5,100.0,attack_train,bookmia.01.26,3320184833,kl,200,91.406,46.043,-45.362,231.697,15.931,91.864,0.4604
0.5,100.0,attack_train,bookmia.01.60,3320184833,kl,200,93.441,85.275,-8.166,230.486,17.681,93.441,0.8527
0.5,100.0,attack_train,bookmia.01.59,3320184833,kl,200,93.42,104.006,10.585,223.592,12.285,93.42,1.0401
0.5,100.0,attack_train,bookmia.01.87,3320184833,kl,200,92.027,85.452,-6.575,219.917,16.883,92.027,0.8545
0.5,100.0,attack_train,bookmia.01.01,3320184833,kl,200,93.894,107.986,14.092,195.768,11.401,93.894,1.0799
0.5,100.0,attack_train,bookmia.01.79,3320184833,kl,200,37.289,34.825,-2.463,92.842,24.561,92.455,0.3483
0.5,100.0,attack_train,bookmia.01.43,3320184833,kl,200,89.544,81.86,-7.684,204.58,22.125,91.387,0.8186
0.5,100.0,attack_train,bookmia.01.49,3320184833,kl,200,90.533,96.929,6.397,206.846,12.73,90.547,0.9693
0.5,100.0,attack_train,bookmia.01.52,3320184833,kl,200,91.045,110.298,19.252,194.894,12.031,91.045,1.103
0.5,100.0,attack_train,bookmia.07.43,3320184834,kl,200,94.028,86.575,-7.453,224.695,14.008,94.028,0.8657
0.5,100.0,attack_train,bookmia.01.90,3320184834,kl,200,95.338,115.172,19.834,230.487,13.747,95.338,1.1517
0.5,100.0,attack_train,bookmia.07.06,3320184834,kl,200,95.881,106.45,10.569,212.933,12.909,95.931,1.0645
0.5,100.0,attack_train,bookmia.00.31,3320184834,kl,200,94.847,65.568,-29.279,229.17,13.691,94.847,0.6557
0.5,100.0,attack_train,bookmia.07.55,3320184834,kl,200,94.163,72.089,-22.074,219.027,13.405,94.162,0.7209
0.5,100.0,attack_train,bookmia.07.16,3320184834,kl,200,94.957,99.106,4.149,213.562,13.027,95.324,0.9911
0.5,100.0,attack_train,bookmia.07.63,3320184834,kl,200,95.694,90.097,-5.597,218.686,16.547,95.694,0.901
0.5,100.0,attack_train,bookmia.00.26,3320184834,kl,200,95.803,123.237,27.434,205.855,14.418,95.803,1.2324
0.5,100.0,attack_train,bookmia.07.28,3320184834,kl,200,92.277,78.569,-13.709,206.305,12.326,94.075,0.7857
0.5,100.0,attack_train,bookmia.07.30,3320184834,kl,200,92.71,85.035,-7.675,212.471,16.485,94.727,0.8503
0.5,100.0,attack_train,bookmia.07.49,3320184834,kl,200,93.838,69.197,-24.64,220.346,12.687,93.838,0.692
0.5,100.0,attack_train,bookmia.07.56,3320184834,kl,200,94.924,101.963,7.039,203.847,12.239,95.8,1.0196
0.5,100.0,attack_train,bookmia.07.24,3320184834,kl,200,96.028,119.569,23.541,209.489,20.551,96.028,1.1957
0.5,100.0,attack_train,bookmia.01.04,3320184834,kl,200,92.693,109.742,17.049,231.206,16.732,92.797,1.0974
0.5,100.0,attack_train,bookmia.01.39,3320184834,kl,200,49.659,39.251,-10.408,143.731,22.415,91.659,0.3925
0.5,100.0,attack_train,bookmia.07.02,3320184834,kl,200,95.45,70.352,-25.098,220.796,14.823,95.45,0.7035
